config,correctness_avg,groundedness_avg,relevance_avg,coherence_avg
chunk900_embintfloat-multilingual-e5-base_xprovTrue,3.8115942028985508,4.231884057971015,4.2898550724637685,4.739130434782608
chunk1200_embintfloat-multilingual-e5-base_xprovTrue,3.9565217391304346,4.449275362318841,4.391304347826087,4.797101449275362
chunk300_embdeepvk-USER-bge-m3_xprovTrue,4.318840579710145,4.753623188405797,4.782608695652174,4.942028985507246
chunk1200_embintfloat-multilingual-e5-base_xprovFalse,4.220588235294118,4.676470588235294,4.6911764705882355,4.852941176470588
chunk600_embdeepvk-USER-bge-m3_xprovTrue,4.043478260869565,4.405797101449275,4.405797101449275,4.782608695652174
chunk900_embdeepvk-USER-bge-m3_xprovTrue,4.028985507246377,4.550724637681159,4.391304347826087,4.855072463768116
chunk1200_embdeepvk-USER-bge-m3_xprovFalse,4.3478260869565215,4.521739130434782,4.594202898550725,4.811594202898551
chunk600_embintfloat-multilingual-e5-base_xprovFalse,4.0,4.318840579710145,4.478260869565218,4.884057971014493
chunk600_embintfloat-multilingual-e5-base_xprovTrue,3.869565217391304,4.333333333333333,4.420289855072464,4.840579710144928
chunk300_embintfloat-multilingual-e5-base_xprovTrue,4.279411764705882,4.588235294117647,4.647058823529412,4.911764705882353
chunk300_embdeepvk-USER-bge-m3_xprovFalse,4.391304347826087,4.855072463768116,4.840579710144928,4.971014492753623
chunk300_embintfloat-multilingual-e5-base_xprovFalse,4.2898550724637685,4.536231884057971,4.565217391304348,4.797101449275362
chunk900_embintfloat-multilingual-e5-base_xprovFalse,4.173913043478261,4.492753623188406,4.594202898550725,4.942028985507246
chunk1200_embdeepvk-USER-bge-m3_xprovTrue,4.043478260869565,4.333333333333333,4.434782608695652,4.840579710144928
chunk900_embdeepvk-USER-bge-m3_xprovFalse,4.536231884057971,4.797101449275362,4.840579710144928,4.971014492753623
chunk600_embdeepvk-USER-bge-m3_xprovFalse,4.246376811594203,4.608695652173913,4.6231884057971016,4.913043478260869
